iter	Passed	Remaining
0	102	92240
1	207	93299
2	308	92101
3	408	91459
4	503	90135
5	599	89390
6	710	90609
7	817	91194
8	922	91300
9	1026	91373
10	1126	91008
11	1228	90875
12	1327	90582
13	1427	90314
14	1530	90290
15	1629	90052
16	1746	90702
17	1863	91324
18	1972	91479
19	2068	90999
20	2162	90495
21	2263	90330
22	2360	90013
23	2459	89756
24	2558	89538
25	2661	89461
26	2763	89362
27	2862	89152
28	2962	88981
29	3061	88795
30	3157	88523
31	3271	88751
32	3371	88575
33	3472	88446
34	3570	88232
35	3665	87976
36	3769	87912
37	3863	87640
38	3955	87327
39	4060	87298
40	4161	87193
41	4257	86968
42	4360	86912
43	4454	86669
44	4549	86436
45	4648	86292
46	4744	86106
47	4841	85944
48	4945	85897
49	5043	85743
50	5142	85609
51	5245	85538
52	5340	85348
53	5442	85261
54	5542	85154
55	5636	84956
56	5734	84804
57	5864	85137
58	6006	85621
59	6104	85459
60	6206	85367
61	6303	85197
62	6393	84938
63	6481	84665
64	6578	84511
65	6675	84359
66	6775	84239
67	6878	84155
68	6978	84050
69	7077	83920
70	7174	83766
71	7278	83701
72	7370	83494
73	7464	83317
74	7565	83215
75	7668	83141
76	7763	82981
77	7854	82772
78	7952	82643
79	8060	82622
80	8163	82546
81	8264	82440
82	8354	82240
83	8463	82213
84	8556	82037
85	8651	81888
86	8760	81868
87	8850	81664
88	8943	81499
89	9044	81403
90	9143	81283
91	9240	81156
92	9346	81104
93	9446	80997
94	9543	80870
95	9642	80758
96	9733	80578
97	9836	80496
98	9919	80261
99	10021	80175
100	10115	80025
101	10210	79882
102	10300	79704
103	10399	79592
104	10499	79498
105	10597	79383
106	10698	79289
107	10797	79180
108	10886	79003
109	10978	78842
110	11072	78706
111	11178	78648
112	11264	78451
113	11357	78303
114	11444	78123
115	11538	77984
116	11642	77911
117	11730	77736
118	11831	77651
119	11924	77508
120	12037	77494
121	12159	77542
122	12259	77442
123	12367	77397
124	12471	77321
125	12573	77239
126	12674	77146
127	12776	77058
128	12869	76916
129	12970	76826
130	13060	76666
131	13158	76560
132	13245	76387
133	13340	76259
134	13446	76198
135	13537	76049
136	13633	75928
137	13737	75852
138	13835	75746
139	13928	75610
140	14032	75534
141	14122	75388
142	14236	75361
143	14339	75283
144	14432	75146
145	14520	74991
146	14607	74826
147	14703	74708
148	14792	74559
149	14889	74449
150	14981	74309
151	15070	74161
152	15167	74053
153	15268	73960
154	15371	73880
155	15472	73792
156	15578	73723
157	15680	73637
158	15787	73574
159	15870	73401
160	15971	73311
161	16057	73149
162	16155	73045
163	16247	72915
164	16336	72773
165	16425	72629
166	16519	72509
167	16617	72406
168	16724	72342
169	16826	72253
170	16932	72184
171	17026	72067
172	17131	71992
173	17231	71896
174	17327	71787
175	17431	71708
176	17542	71656
177	17635	71533
178	17738	71449
179	17831	71325
180	17921	71189
181	18017	71080
182	18113	70971
183	18209	70859
184	18298	70721
185	18400	70635
186	18495	70519
187	18584	70383
188	18680	70273
189	18772	70150
190	18861	70016
191	18950	69881
192	19044	69765
