feature,importance
num__bmi_age,0.056434771677993024
num__physical_activity_minutes_per_week,0.05527794974249532
num__activity_sleep_ratio,0.05455079871710994
num__tg_hdl_ratio,0.04184647636130377
num__cholesterol_ratio,0.04144176158764673
num__family_history_diabetes,0.04065146849119112
num__screen_time_hours_per_day,0.04028402304898223
num__bmi,0.03981399229021112
num__diet_score,0.039065986948956744
num__age,0.038841928065900796
num__ldl_cholesterol,0.03719589637173192
num__map,0.03633103975894309
num__sleep_hours_per_day,0.035556078000859484
num__heart_rate,0.03509514080418199
num__pulse_pressure,0.03418002068077772
num__systolic_bp,0.03378867991667512
num__triglycerides_log,0.03319754125163865
num__triglycerides,0.033113170175703664
num__cholesterol_total,0.03197635038682456
num__cholesterol_total_log,0.03178572296535047
num__diastolic_bp,0.0305567810991568
num__hdl_cholesterol,0.029146118886648465
num__waist_to_hip_ratio,0.02741074921368658
num__alcohol_consumption_per_week,0.014928864002581982
cat__income_level_Middle,0.005891140455588383
cat__ethnicity_White,0.005859658628300402
cat__education_level_Highschool,0.005780196586253492
cat__education_level_Graduate,0.0056411293129251935
cat__gender_Female,0.0054838369093147665
cat__gender_Male,0.005481206139560461
cat__income_level_Lower-Middle,0.005435854121719015
cat__smoking_status_Never,0.005277039903442758
cat__employment_status_Employed,0.005142099239500154
cat__income_level_Upper-Middle,0.00495919902301403
cat__ethnicity_Hispanic,0.004939975663937562
num__hypertension_history,0.00491726176593945
cat__ethnicity_Black,0.00461217356291745
cat__employment_status_Retired,0.0045753048120467515
cat__smoking_status_Former,0.0044070175028055256
cat__smoking_status_Current,0.004327052655082376
cat__income_level_Low,0.004298377944617064
cat__education_level_Postgraduate,0.00415612993787074
cat__ethnicity_Asian,0.003661604459578744
cat__employment_status_Unemployed,0.003266976833341358
cat__employment_status_Student,0.0018525861654268504
cat__income_level_High,0.001819996945286069
num__cardiovascular_history,0.0018079808867758691
cat__ethnicity_Other,0.0017940510739708946
cat__education_level_No formal,0.0015952026647372062
cat__gender_Other,0.0005456363594961252
